date	open	high	low	close	volume	symbol
2013-03-01	398.5	403.17	397.68	402.69		NASDAQ:GOOG
2013-03-04	402.25	411.01	402.1	410.34		NASDAQ:GOOG
2013-03-05	414.05	419.65	414.04	418.88		NASDAQ:GOOG
2013-03-06	420.09	421.58	413.99	415.27		NASDAQ:GOOG
2013-03-07	416.61	417.89	414.38	415.88		NASDAQ:GOOG
2013-03-08	416.83	417.04	412.11	415.34		NASDAQ:GOOG
2013-03-11	415.43	419.43	415.33	416.99		NASDAQ:GOOG
2013-03-12	414.94	415.53	411.42	413.39		NASDAQ:GOOG
2013-03-13	413.54	414.93	410.74	412.24		NASDAQ:GOOG
2013-03-14	413.08	413.08	408.29	410.36		NASDAQ:GOOG
2013-03-15	408.84	409.74	406.26	406.74		NASDAQ:GOOG
2013-03-18	402.1	405.97	400.33	403.49		NASDAQ:GOOG
2013-03-19	405.21	409.22	402.82	405.25		NASDAQ:GOOG
2013-03-20	408.01	408.35	405.31	406.95		NASDAQ:GOOG
2013-03-21	405.24	408.05	404.52	405.22		NASDAQ:GOOG
2013-03-22	406.96	407.21	404.42	404.75		NASDAQ:GOOG
2013-03-25	405.8	409.21	403.01	404.42		NASDAQ:GOOG
2013-03-26	406.34	406.59	403.49	405.8		NASDAQ:GOOG
2013-03-27	402.94	403.1	400.26	400.93		NASDAQ:GOOG
2013-03-28	401.59	402.28	396.25	396.7		NASDAQ:GOOG
2013-04-01	397.11	400.72	396.23	400.19		NASDAQ:GOOG
2013-04-02	401.87	407.01	401.6	406.11		NASDAQ:GOOG
2013-04-03	406.32	406.69	399.93	402.7		NASDAQ:GOOG
2013-04-04	401.72	402.47	395.25	397.14		NASDAQ:GOOG
2013-04-05	392.64	393.1	387.81	391.13		NASDAQ:GOOG
2013-04-08	388.99	389.39	383.82	387.04		NASDAQ:GOOG
2013-04-09	387.36	391.48	386.17	388.44		NASDAQ:GOOG
2013-04-10	391.07	395.78	387.61	394.69		NASDAQ:GOOG
2013-04-11	396.04	396.15	391.64	394.8		NASDAQ:GOOG
2013-04-12	395.6	395.66	391.07	394.63		NASDAQ:GOOG
2013-04-15	392.58	398.1	388.12	390.57		NASDAQ:GOOG
2013-04-16	392.9	397.6	391.57	396.29		NASDAQ:GOOG
2013-04-17	392.98	395.03	388.66	390.89		NASDAQ:GOOG
2013-04-18	392.28	392.51	380.25	382.57		NASDAQ:GOOG
2013-04-19	384.2	401.32	382.75	399.54		NASDAQ:GOOG
2013-04-22	399.9	401.58	387.11	399.66		NASDAQ:GOOG
2013-04-23	400.1	407.34	399.78	403.55		NASDAQ:GOOG
2013-04-24	403.65	408.59	403.6	406.32		NASDAQ:GOOG
2013-04-25	407.72	407.83	403.41	404.15		NASDAQ:GOOG
2013-04-26	403.4	403.47	397.89	400.31		NASDAQ:GOOG
2013-04-29	401.22	410.94	401.1	409.12		NASDAQ:GOOG
2013-04-30	409.09	413.41	408.43	411.87		NASDAQ:GOOG
2013-05-01	411.22	411.95	407.77	409.8		NASDAQ:GOOG
2013-05-02	409.64	416.86	409.12	414.39		NASDAQ:GOOG
2013-05-03	418.06	422.98	417.58	422.44		NASDAQ:GOOG
2013-05-06	423.71	430.49	423.71	430.34		NASDAQ:GOOG
2013-05-07	431.07	431.5	424.91	428.19		NASDAQ:GOOG
2013-05-08	428.07	436.5	426.03	436.38		NASDAQ:GOOG
2013-05-09	434.98	439.39	433.68	435.3		NASDAQ:GOOG
2013-05-10	437.22	439.83	435.64	439.67		NASDAQ:GOOG
2013-05-13	439.01	440.79	436.25	438.33		NASDAQ:GOOG
2013-05-14	438.31	443.9	438.13	443.11		NASDAQ:GOOG
2013-05-15	447.3	457.73	446.56	457.49		NASDAQ:GOOG
2013-05-16	459.04	459.53	450.55	451.48		NASDAQ:GOOG
2013-05-17	454.56	456.29	449.81	454.14		NASDAQ:GOOG
2013-05-20	452.05	459.84	452.05	453.81		NASDAQ:GOOG
2013-05-21	453.56	455.37	448.36	453.03		NASDAQ:GOOG
2013-05-22	450.83	454.2	443	444.27		NASDAQ:GOOG
2013-05-23	438.06	444.54	436.56	440.95		NASDAQ:GOOG
2013-05-24	437.19	438.97	435.07	436.22		NASDAQ:GOOG
2013-05-28	441.31	445.62	439.76	440.19		NASDAQ:GOOG
2013-05-29	437.42	438.56	431.71	433.72		NASDAQ:GOOG
2013-05-30	434.53	439.01	432.77	434.94		NASDAQ:GOOG
2013-05-31	433.63	438.06	433.33	435.17		NASDAQ:GOOG
2013-06-03	431.34	436.55	427.08	433.38		NASDAQ:GOOG
2013-06-04	433.49	434.86	426.61	429.12		NASDAQ:GOOG
2013-06-05	430.82	434.29	428.14	429.42		NASDAQ:GOOG
2013-06-06	431.72	432.73	423.19	431.89		NASDAQ:GOOG
2013-06-07	434.77	439.56	432.23	439.43		NASDAQ:GOOG
2013-06-10	440.61	445.05	439.6	444.66		NASDAQ:GOOG
2013-06-11	441.54	443.06	439.32	439.47		NASDAQ:GOOG
2013-06-12	442.29	442.56	434.39	435.55		NASDAQ:GOOG
2013-06-13	434.06	439.39	432.32	438.06		NASDAQ:GOOG
2013-06-14	439.61	441.91	436.63	437.08		NASDAQ:GOOG
2013-06-17	439.18	444.27	438.7	442.68		NASDAQ:GOOG
2013-06-18	443.88	450.05	443.73	449.86		NASDAQ:GOOG
2013-06-19	450.23	454.96	448.3	449.89		NASDAQ:GOOG
2013-06-20	446.55	450.05	441.21	441.93		NASDAQ:GOOG
2013-06-21	443.73	444.5	436.1	440.02		NASDAQ:GOOG
2013-06-24	435.5	437.72	431.19	434.46		NASDAQ:GOOG
2013-06-25	438.19	439.4	431.82	432.67		NASDAQ:GOOG
2013-06-26	436.44	438.56	434.85	436.39		NASDAQ:GOOG
2013-06-27	438.96	441.9	437.89	438.1		NASDAQ:GOOG
2013-06-28	437.01	440.48	436.66	439.74		NASDAQ:GOOG
2013-07-01	442.78	445.59	442.06	443.5		NASDAQ:GOOG
2013-07-02	444.65	445.05	438.2	440.71		NASDAQ:GOOG
